fips,addressCounty,addressState,Total,C18 Total,C93 Total,C25 Total,C61 Total,C64 Total,C54 Total,C85 Total,C73 Total,C91 Total,C43 Total,C50 Total,C34 Total,C92 Total,C67 Total
37057,Davidson County,NC,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0
37063,Durham County,NC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
37065,Edgecombe County,NC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37067,Forsyth County,NC,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0
37071,Gaston County,NC,179.0,47.0,0.0,5.0,21.0,5.0,0.0,3.0,6.0,1.0,18.0,48.0,23.0,1.0,1.0
37087,Haywood County,NC,308.0,28.0,0.0,11.0,64.0,1.0,0.0,0.0,3.0,15.0,15.0,122.0,32.0,3.0,14.0
37089,Henderson County,NC,149.0,31.0,0.0,5.0,18.0,4.0,3.0,0.0,0.0,5.0,3.0,49.0,23.0,3.0,5.0
37099,Jackson County,NC,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
37119,Mecklenburg County,NC,8.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
37125,Moore County,NC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37129,New Hanover County,NC,20.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,9.0,0.0,1.0
37139,Pasquotank County,NC,51.0,0.0,0.0,4.0,7.0,1.0,1.0,2.0,1.0,7.0,5.0,12.0,9.0,2.0,0.0
37149,Polk County,NC,137.0,8.0,0.0,9.0,10.0,2.0,0.0,9.0,0.0,11.0,1.0,55.0,22.0,2.0,8.0
37155,Robeson County,NC,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
